,open,high,low,close,volume
0,568.0,568.0,565.12,565.12,4917.0
1,565.0,565.0,563.41,563.41,3736.0
2,563.5,565.51,563.5,564.21,4067.0
3,564.5,565.0,564.22,564.22,4248.0
4,564.83,565.84,564.83,565.56,2481.0
5,566.26,566.49,566.0,566.0,2201.0
6,566.0,566.0,565.75,566.0,3465.0
7,565.9,567.0,565.9,567.0,4664.0
8,566.65,567.0,566.56,566.56,1542.0
9,567.0,567.01,567.0,567.01,951.0
10,567.0,567.0,566.99,566.99,971.0
11,567.19,567.55,567.19,567.3,2605.0
12,568.0,569.29,568.0,569.24,4261.0
13,569.3,569.4,569.0,569.0,2830.0
14,569.19,569.19,566.8,566.8,2612.0
15,568.56,568.56,568.56,568.56,1341.0
16,568.0,568.0,568.0,568.0,1364.0
17,568.8,568.8,568.8,568.8,588.0
18,569.28,569.28,569.0,569.0,1244.0
19,569.28,569.28,569.16,569.16,1083.0
20,569.12,569.12,569.0,569.0,791.0
21,569.2,569.2,569.07,569.07,398.0
22,569.0,569.04,569.0,569.04,1034.0
23,569.0,569.0,568.52,568.52,2091.0
24,568.07,568.07,567.8,567.8,2284.0
25,567.9,568.88,567.9,568.88,1684.0
26,568.17,568.17,568.17,568.17,1069.0
27,568.0,568.0,567.9,567.9,552.0
28,568.01,568.01,568.01,568.01,838.0
29,568.04,568.3,568.04,568.04,1374.0
30,567.91,567.91,567.91,567.91,858.0
31,568.1,568.1,568.0,568.1,912.0
32,567.99,568.0,567.99,568.0,586.0
33,567.95,567.95,567.9,567.9,471.0
34,567.1,567.1,566.98,567.0,3132.0
35,566.8,566.8,566.8,566.8,595.0
36,566.61,566.61,566.61,566.61,998.0
37,566.4,566.4,566.4,566.4,1149.0
38,566.01,566.01,565.21,565.21,4002.0
39,565.2,565.2,564.88,564.88,3149.0
40,565.12,565.12,564.88,564.88,999.0
41,564.5,564.5,564.5,564.5,1881.0
42,564.0,564.0,564.0,564.0,1303.0
43,563.5,563.5,563.0,563.0,2067.0
44,563.51,563.51,563.51,563.51,1081.0
45,564.0,564.0,564.0,564.0,878.0
46,564.3,564.3,564.3,564.3,483.0
47,563.5,563.5,563.3,563.3,1319.0
48,563.3,563.3,563.3,563.3,720.0
49,563.92,563.92,563.92,563.92,583.0
50,563.1,563.1,562.01,562.01,1992.0
51,561.0,561.0,561.0,561.0,2692.0
52,560.76,560.77,560.5,560.6,4636.0
53,560.3,561.0,560.0,561.0,8172.0
54,560.99,560.99,560.4,560.4,1825.0
55,560.0,560.0,558.99,559.19,4085.0
56,560.01,560.01,560.01,560.01,1583.0
57,560.39,561.0,560.39,561.0,1500.0
58,561.06,561.06,560.76,560.76,1185.0
59,560.18,560.18,559.99,560.0,2240.0
60,560.0,560.0,559.8,559.8,1590.0
61,559.4,559.4,559.4,559.4,1072.0
62,559.4,560.0,559.4,560.0,2361.0
63,560.28,560.28,560.28,560.28,295.0
64,559.11,559.11,559.11,559.11,675.0
65,559.3,559.3,559.3,559.3,465.0
66,559.2,559.2,559.2,559.2,468.0
67,559.3,559.3,559.3,559.3,318.0
68,559.3,559.3,559.3,559.3,1212.0
69,559.11,559.11,559.0,559.0,1225.0
70,559.01,559.01,559.01,559.01,444.0
71,559.64,559.64,559.64,559.64,1222.0
72,560.0,560.0,560.0,560.0,615.0
73,560.0,560.0,560.0,560.0,803.0
74,560.0,560.0,560.0,560.0,963.0
75,559.85,559.85,559.5,559.5,1448.0
