,open,high,low,close,volume
0,19.0,25.0,17.54,23.89,18766300.0
1,25.79,30.4192,23.3,23.83,17187100.0
2,25.0,25.92,20.27,21.96,8218800.0
3,23.0,23.1,18.71,19.2,5139800.0
4,20.0,20.0,15.83,16.11,6866900.0
5,16.4,16.63,14.98,15.8,6921700.0
6,16.14,17.52,15.57,17.46,7711400.0
7,17.58,17.9,16.55,17.4,4050600.0
8,17.95,18.07,17.0,17.05,2202500.0
9,17.3938,18.64,16.9,18.14,2680100.0
10,17.94,20.15,17.7601,19.84,4195200.0
11,19.94,21.5,19.0,19.89,3739800.0
12,20.7,21.3,20.05,20.64,2621300.0
13,21.37,22.25,20.92,21.91,2486500.0
14,21.85,21.85,20.05,20.3,1825300.0
15,20.66,20.9,19.5,20.22,1252500.0
16,20.5,21.25,20.37,21.0,957800.0
17,21.19,21.56,21.06,21.29,653600.0
18,21.5,21.5,20.3,20.95,922200.0
19,20.91,21.18,20.26,20.55,619700.0
20,20.55,20.9,20.51,20.72,467200.0
21,20.77,20.88,20.0,20.35,616000.0
22,20.2,20.44,19.55,19.94,426900.0
23,20.5,20.97,20.333,20.92,718100.0
24,21.0,21.95,20.82,21.95,1230500.0
25,21.95,22.18,20.85,21.26,913000.0
26,21.54,21.55,20.05,20.45,796200.0
27,20.1,20.1601,19.52,19.59,741900.0
28,19.9,19.98,19.45,19.6,812700.0
29,19.65,19.65,18.82,19.03,1281300.0
30,18.69,18.88,17.85,17.9,797600.0
31,17.8,17.9,17.39,17.6,691000.0
32,18.18,18.45,17.6604,18.32,634000.0
33,18.45,18.8,18.2616,18.78,485800.0
34,18.96,19.4,18.78,19.15,447900.0
35,19.59,19.59,18.6,18.77,601300.0
36,18.54,19.25,18.33,18.79,579100.0
37,18.65,19.11,18.5101,19.1,296000.0
38,19.09,20.3891,19.0,20.13,1088100.0
39,19.25,19.71,18.95,19.2,673100.0
40,19.16,19.98,18.56,19.9,503300.0
41,19.89,20.27,19.6,19.75,433800.0
42,19.75,19.865,19.5,19.7,379600.0
43,19.7,20.19,19.61,19.87,732800.0
44,19.66,19.79,19.33,19.48,201100.0
45,19.62,20.69,19.6,20.45,494900.0
46,20.37,21.24,20.3103,21.06,487100.0
47,20.87,21.3,20.66,21.05,434600.0
48,20.61,21.0,20.5,20.54,243400.0
